TABLE,VAR,FORMAT,FORMAT.DESC,VAR.L,VAR.DESC
BIRTH,BRTH_ST_C,C,4,Place of Birth - State,Two Digit Postal Code in Code Table.
BIRTH,BRTHCNTY_C,C,4,Place of Birth - County Code,See Code Table.
BIRTH,BRTH_TYP_C,C,4,Place of Birth - Type Code,See Code Table-Place of Delivery.
BIRTH,HOSP_ID_C,C,4,Hospital ID Code,See Code Table and/or Hospital Table.
BIRTH,INF_DISP_C,C,4,Disposition of Infant At Discharge,See Code Table-Infant Disposition.
BIRTH,INF_CMP1_C,C,4,Infant Complications Code 1,See Code Table.
BIRTH,INF_CMP2_C,C,4,Infant Complications Code 2,Same as Above.
BIRTH,INF_CMP3_C,C,4,Infant Complications Code 3,Same as Above.
BIRTH,INF_CMP4_C,C,4,Infant Complications Code 4,Same as Above.
BIRTH,INF_CMP5_C,C,4,Infant Complications Code 5,Same as Above.
BIRTH,APORS_F,C,1,APORS Indicator,"""Y"" = Yes, ""N"" or Blank = No."
BIRTH,ICU_F,C,1,ICU Admission Indicator,"""Y"" = Yes, ""N"" or Blank = No."
BIRTH,DTH_CAUS_C,C,4,Cause of Death,See Code Table - Death Cause.
BIRTH,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
BIRTH,OPERATOR_I,N,9,Operator ID,User Making Last Update.
BIRTH,UPLOAD_F,C,1,Upload Indicator,See Code Table.
BIRTH,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
BODMSG,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
BODMSG,DATE,D/T,8,BOD Message Date and Time,The Date and Time that the BOD message was sent.
BODMSG,FIL,M,4,BOD Message File,The file contains that actual BOD message text..
BODMSG,TXT,M,4,BOD Message Text,"In older BOD messages, the Text file contained the BOD message text. Now the BOD message text is kept in the message file."
BODMSG,PGM_ID_C,C,100,Program ID Code,See Code Table.
BODMSG,TITLE_T,C,50,BOD Message Title,Title of the BOD message for the BOD Message Center.
BODMSG,MSGID_I,C,8,BOD Message ID,Unique ID assigned to each BOD Message.
BPUMP,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
BPUMP,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
BPUMP,BP_RCVD_D,D,8,Breast Pump Received Date,Date Participant received Breast Pump from Clinic.
BPUMP,BP_TYP_C,C,4,Breast Pump Type,Type of Breast Pump given to the Participant.
BPUMP,BP_RTRN_D,D,8,Breast Pump Return Date,The Date that the Breast Pump was returned to the clinic.
BPUMP,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
BPUMP,OPERATOR_I,N,9,Operator ID,User Making Last Update.
BPUMP,UPLOAD_F,C,1,Upload Indicator,See Code Table.
BPUMP,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
CASEASGN,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
CASEASGN,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
CASEASGN,EMPL_ID_I,N,9,Employee ID,Case Manager Link to Employee Table.
CASEASGN,PGM_ID_C,C,4,Program ID Code,See Code Table.
CASEASGN,EFFECT_D,D,8,Effective Date,Start Date of the Case Assignment.
CASEASGN,END_D,D,8,End Date,End Date of the Case Assignment.
CASEASGN,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
CASEASGN,OPERATOR_I,N,9,Operator ID,User Making Last Update.
CASEASGN,UPLOAD_F,C,1,Upload Indicator,See Code Table.
CASEASGN,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
CASENOTE,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
CASENOTE,EVENT_D,D,8,Event Date,Date of the Event.
CASENOTE,EVNT_SEQ_N,N,2,Event Sequence,Used for Multiple Case Notes on the Same Date.
CASENOTE,CONFIDNT_F,C,1,Confidentiality Flag Indicator,Marks the note as confidential.
CASENOTE,CASE_PRE_D,D,8,Date Prepared,Date the Case Note was created.
CASENOTE,MSG_TEXT_M,M,10,Message Text,Free form text of case note.
CASENOTE,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
CASENOTE,OPERATOR_I,N,9,Operator ID,User Making Last Update.
CATGHIST,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number .
CATGHIST,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
CATGHIST,PGM_ID_C,C,4,Program ID Code,See Code Table.
CATGHIST,EFF_FROM_D,D,8,Effective From Date,Beginning of Time Period the Participant was in this Category for Case Management.
CATGHIST,EFF_THRU_D,D,8,Effective Thru Date,End of Time Period the Participant was in this Category for Case Management.
CATGHIST,CATEGORY_C,C,4,Category,See Code Table.
CATGHIST,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
CATGHIST,OPERATOR_I,N,9,Operator ID,User Making Last Update.
CATGHIST,UPLOAD_F,C,1,Upload Indicator,See Code Table.
CATGHIST,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
CHLDEILD,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
CHLDEILD,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
CHLDEILD,VISIT_D,D,8,Visit Date,Visit Date.
CHLDEILD,ASQSE_M,M,10,ASQSE Memo,"Used to record family's strengths, resources and priorities."
CHLDEILD,OVERALL_M,M,10,Overall Memo,Used to record overall health and medical information.
CHLDEILD,ADPT_DLY_C,C,3,Adaptive Delay Percentage,Percentage of child's delay compared to their age equivalent peers and/or age equivalent (months).
CHLDEILD,ADPT_AGE_C,C,10,Adaptive Age,"The child's age, in months, based on their percent delay."
CHLDEILD,ADPT_M,M,10,Adaptive Memo,Used to record details on child's adaptive development.
CHLDEILD,COG_DLY_C,C,3,Cognitive Delay Percentage,Percentage of child's delay compared to their age equivalent peers and/or age equivalent (months).
CHLDEILD,COG_AGE_C,C,10,Cognitive Age,"The child's age, in months, based on their percent delay."
CHLDEILD,COG_M,M,10,Cognitive Memo,Used to record details on child's cognitive development.
CHLDEILD,COMM_DLY_C,C,3,Communication Delay Percentage,Percentage of child's delay compared to their equivalent peers and/or age equivalent (months).
CHLDEILD,COMM_AGE_C,C,10,Communication Age,"The child's age, in months, based on their percent delay."
CHLDEILD,COMM_M,M,10,Communication Memo,"Used to record details on child's communication development, both expressive and receptive."
CHLDEILD,EXP_DLY_C,C,3,Expressive Delay Percentage,Percentage of child's delay compared to their equivalent peers and/or age equivalent (months).
CHLDEILD,EXP_AGE_C,C,10,Expressive Age,"The child's age, in months, based on their percent delay."
CHLDEILD,REC_DLY_C,C,3,Receptive Delay Percentage,Percentage of child's delay compared to their equivalent peers and/or age equivalent (months).
CHLDEILD,REC_AGE_C,C,10,Receptive Age,"The child's age, in months, based on their percent delay."
CHLDEILD,MOTR_DLY_C,C,3,Motor Delay Percentage,Percentage of child's delay compared to their equivalent peers and/or age equivalent (months).
CHLDEILD,MOTR_AGE_C,C,10,Motor Age,"The child's age, in months, based on their percent delay."
CHLDEILD,MOTR_M,M,10,Motor Memo,"Used to record information on child's motor development, both fine motor and gross motor."
CHLDEILD,FINE_DLY_C,C,3,Fine Motor Delay Percentage,Percentage of child's delay compared to their equivalent peers and/or age equivalent (months).
CHLDEILD,FINE_AGE_C,C,10,Fine Motor Age,"The child's age, in months, based on their percent delay."
CHLDEILD,GROS_DLY_C,C,3,Gross Motor Delay Percentage,Percentage of child's delay compared to their equivalent peers and/or age equivalent (months).
CHLDEILD,GROS_AGE_C,C,10,Gross Motor Age,"The child's age, in months, based on their percent delay."
CHLDEILD,SOCL_DLY_C,C,3,Social/Emotional Delay Percentage,Percentage of child's delay compared to their equivalent peers and/or age equivalent (months).
CHLDEILD,SOCL_AGE_C,C,10,Social/Emotional Age,"The child's age, in months, based on their percent delay."
CHLDEILD,SOCL_M,M,10,Social/Emotional Memo,Used to record child's social/emotional skills.
CHLDEILD,REL_RAT_N,N,1,Social Relationship Rating,Used to record the number rating of child's positive socio-emotional skills.
CHLDEILD,REL_F,C,1,Social Relationship Flag,"""Y"" = Yes, ""N"" or Blank = No."
CHLDEILD,REL_M,M,10,Social Relationship Memo,Used to record any new skills or behaviors for the child.
CHLDEILD,SKLS_RAT_N,N,1,Knowledge/Skills Rating,Used to record the number rating of child's knowledge and skills.
CHLDEILD,SKLS_F,C,1,Knowledge/Skills Flag,"""Y"" = Yes, ""N"" or Blank = No."
CHLDEILD,SKLS_M,M,10,Knowledge/Skills Memo,Used to record any new skills or behaviors of the child.
CHLDEILD,NEED_RAT_N,N,1,Needs Rating,Used to record the number rating of child's needs.
CHLDEILD,NEED_F,C,1,Needs Flag,"""Y"" = Yes, ""N"" or Blank = No."
CHLDEILD,NEED_M,M,10,Needs Memo,Used to record any new skills or behaviors acquired by the child.
CHLDEILD,SRCE1_C,C,4,Source 1,Select from the dropdown list.
CHLDEILD,ASMINST1_C,C,4,Assessment Instrument 1,Select from the dropdown list.
CHLDEILD,ASSM1_D,D,8,Assessment Date 1,Date of Assessment 1.
CHLDEILD,SRCE2_C,C,4,Source 2,Select from the dropdown list.
CHLDEILD,ASMINST2_C,C,4,Assessment Instrument 2,Select from the dropdown list.
CHLDEILD,ASSM2_D,D,8,Assessment Date 2,Date of Assessment 2.
CHLDEILD,SRCE3_C,C,4,Source 3,Select from the dropdown list.
CHLDEILD,ASMINST3_C,C,4,Assessment Instrument 3,Select from the dropdown list.
CHLDEILD,ASSM3_D,D,8,Assessment Date 3,Date of Assessment 3.
CHLDEILD,SRCE4_C,C,4,Source 4,Select from the dropdown list.
CHLDEILD,ASMINST4_C,C,4,Assessment Instrument 4,Select from the dropdown list.
CHLDEILD,ASSM4_D,D,8,Assessment Date 4,Date of Assessment 4.
CHLDEILD,SRCE5_C,C,4,Source 5,Select from the dropdown list.
CHLDEILD,ASMINST5_C,C,4,Assessment Instrument 5,Select from the dropdown list.
CHLDEILD,ASSM5_D,D,8,Assessment Date 5,Date of Assessment 5.
CHLDEILD,SRCE6_C,C,4,Source 6,Select from the dropdown list.
CHLDEILD,ASMINST6_C,C,4,Assessment Instrument 6,Select from the dropdown list.
CHLDEILD,ASSM6_D,D,8,Assessment Date 6,Date of Assessment 6.
CHLDEILD,SRCE7_C,C,4,Source 7,Select from the dropdown list.
CHLDEILD,ASMINST7_C,C,4,Assessment Instrument 7,Select from the dropdown list.
CHLDEILD,ASSM7_D,D,8,Assessment Date 7,Date of Assessment 7.
CHLDEILD,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
CHLDEILD,OPERATOR_I,N,9,Operator ID,User Making Last Update.
CHLDEILD,UPLOAD_F,C,1,Upload Indicator,See Code Table.
CHLDEILD,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
CHLDVSIT,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
CHLDVSIT,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
CHLDVSIT,VISIT_D,D,8,Visit Date,Date of the Visit to the Clinic.
CHLDVSIT,SERV_TYP_C,C,4,Service Type Code,See Code Table - From Assessment Type.
CHLDVSIT,HGT_FEET_N,N,1,Height - Feet,Child's height in feet.
CHLDVSIT,HGT_INCH_N,N,2,Height - Inches,Child's height in inches.
CHLDVSIT,HGT_QICH_N,N,1,Height - Quarter Inches,Child's height in quarter inches.
CHLDVSIT,HGT_PCT_N,N,3,Height Growth Percentile,Height Growth Percentile based on child's height.
CHLDVSIT,WGT_PNDS_N,N,3,Weight Pounds,Child's weight in pounds.
CHLDVSIT,WGT_OZS_N,N,2,Weight Ounces,Child's weight in ounces.
CHLDVSIT,WGT_PCT_N,N,2,Weight Growth Percentile,Weight Growth Percentile based on child's weight.
CHLDVSIT,BP_DIA_N,N,3,Blood Pressure - Dia,Child's Diastolic Blood Pressure number.
CHLDVSIT,BP_SYS_N,N,3,Blood Pressure - Sys,Child's Systolic Blood Pressure Number.
CHLDVSIT,DIAG1_C,C,5,Diagnosis Code 1,See Code Table.
CHLDVSIT,DIAG2_C,C,5,Diagnosis Code 2,Same as Above.
CHLDVSIT,DIAG3_C,C,5,Diagnosis Code 3,Same as Above.
CHLDVSIT,ANTHRO_D,D,8,Anthropometric Date,Date of Measurement.
CHLDVSIT,HEMATCRT_N,N,4.1,Hematocrit,Hematocrit number.
CHLDVSIT,HEMOGLBN_N,N,4.1,Hemoglobin,Hemoglobin number.
CHLDVSIT,HEM_D,D,8,Hemoglobin/Hematocrit Date,Date of the Hemoglobin/Hematocrit reading.
CHLDVSIT,HEADCIRC_N,N,4.1,Head Circumference,Child's head circumference.
CHLDVSIT,HEAD_PCT_N,N,2,Head Circumference Percentile,Head Circumference Percentile based .on child's head circumference measurement.
CHLDVSIT,DENTAL_F,C,1,Dental Screening Indicator,"""Y"" = Yes, ""N"" or Blank = No."
CHLDVSIT,DEVEL_F,C,1,Developmental Screening Indicator,"""Y"" = Yes, ""N"" or Blank = No."
CHLDVSIT,MENTAL_F,C,1,Mental Health Screening Indicator,"""Y"" = Yes, ""N"" or Blank = No."
CHLDVSIT,HEARING_F,C,1,Hearing Screening Indicator,"""Y"" = Yes, ""N"" or Blank = No."
CHLDVSIT,VISION_F,C,1,Vision Screening Indicator,"""Y"" = Yes, ""N"" or Blank = No."
CHLDVSIT,SUBST_A_F,C,1,Substance Abuse Screening,"""Y"" = Yes, ""N"" or Blank = No."
CHLDVSIT,TUBERC_F,C,1,Tuberculosis Screening,"""Y"" = Yes, ""N"" or Blank = No."
CHLDVSIT,AGE_FMLA_N,N,2,Age of First Formula,Age infant started formula.
CHLDVSIT,BRST_FED_F,C,1,Currently Breast-Feeding Indicator,"""Y"" = Yes, ""N"" or Blank = No."
CHLDVSIT,BRFD_STP_D,D,8,Date Breast-Feeding Ceased,Date that breastfeeding stopped.
CHLDVSIT,EVR_BRFD_F,C,1,Ever Breast-Fed Indicator,"""Y"" = Yes, ""N"" or Blank = No."
CHLDVSIT,BFC_RSN_C,C,4,Reason B.F. Ceased,See Code Table.
CHLDVSIT,VIT_MIN_C,C,4,Vitamin/Mineral Code,See Code Table.
CHLDVSIT,SUPP_FDG_F,C,1,Supplemental Feeding,"""Y"" = Yes, ""N"" or Blank = No."
CHLDVSIT,SUPP_FDG_D,D,8,Supplemental Feeding Date,Date Supplemental Feeding began.
CHLDVSIT,PREN_EDC_D,D,8,Prenatal EDC Date,Mother's Estimated Date of Confinement .
CHLDVSIT,ADJ_AGE_N,N,3,Adjusted Age,Child's adjusted age.
CHLDVSIT,PREG_WKS_N,N,2,Pregnancy Weeks,How far along the pregnancy is in weeks.
CHLDVSIT,HH_SMOKE_F,C,1,Household Smokers,"""Y"" = Yes, ""N"" or Blank = No, if anyone else living in the household smokes tobacco products."
CHLDVSIT,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
CHLDVSIT,OPERATOR_I,N,9,Operator ID,User Making Last Update.
CHLDVSIT,UPLOAD_F,C,1,Upload Indicator,See Code Table.
CHLDVSIT,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
CLINADM,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
CLINADM,WRKDY_HR_N,N,4.1,Length of Regular Work Day,Total hours of a regular work day at the clinic.
CLINADM,EXTDAYS_N,N,3,Number of Days after a Missed Service,The Number of Days Grace Period that should be applied to a missed Target Date: External.
CLINADM,INTDAYS_N,N,3,Number of Days after a Missed ESRV,The Number of Days Grace Period that should be applied for a missed Service Target Date: Internal.
CLINADM,CONDAYS_N,N,3,Number of Days after the Last Case Manager,The Maximum Number of Days for which a Participant can have no Case Management Contact.
CLINADM,EDCDAYS_N,N,3,Number of Days after the Participant's EDC Date,The Number of Days past a Participant's EDC Date that should be the maximum Grace Period allowed.
CLINADM,HFS_PRV_I,N,9,Medicaid Provider ID,Provider ID Number of the Agency itself.
CLINADM,PARTIDX_F,C,1,Participant Reindex Flag,Select the Day of the Week to run the automated re-indexing process.
CLINADM,CAREIDX_F,C,1,Care Plan Reindex Flag,"""X"" = Run, blank = Do Not Run."
CLINADM,APPTIDX,C,1,Appointment Reindex Flag,"""X"" = Run, blank = Do Not Run."
CLINADM,FIIDX_F,C,1,Food Instrument Reindex Flag,"""X"" = Run, blank = Do Not Run."
CLINADM,CLINIDX_F,C,1,Clinic Reindex Flag,"""X"" = Run, blank = Do Not Run."
CLINADM,GENIDX_F,C,1,General Reindex Flag,"""X"" = Run, blank = Do Not Run."
CLINADM,MASTIDX_F,C,1,Master Index Reindex Flag,"""X"" = Run, blank = Do Not Run."
CLINADM,LST_UPLD_D,D,8,Last Successful Upload Date,Date of Clinic's Last Successful Upload.
CLINADM,LST_UPLD_H,N,4,Last Successful Upload Time,Time of Clinic's Last Successful Upload .
CLINADM,LST_DNLD_D,D,8,Last Successful Download Date,Date of Clinic's Last Successful Download.
CLINADM,LST_DNLD_H,N,4,Last Successful Download Time,Time of Clinic's Last Successful Download.
CLINADM,LST_EOM_N,N,6,Second Day of Month Report Process,
CLINADM,LST_EOM_N2,N,6,Last Day of Month Report Process,
CLINADM,OVRIDBEG_D,D,8,Override EOD Begin Date,Displays a date change for the begin date.
CLINADM,OVRIDEND_D,D,8,Override EOD End Date,Displays a date change for the end date.
CLINADM,BEFLAG,C,1,End of Day/Beginning of Day Status Flag,Status Flag .
CLINADM,LSTDATEPR,D,8,Last Date of Processing,The last date that processing was done.
CLINADM,ERRORLINE,N,10,Last Error Record in the Error Database,Line Number of the last error record in the error database.
CLINADM,ARLSTRUN_D,D,8,Archive Last Run Date,Date of last archive.
CLINADM,LAST_UPD_D,D,8,Date Last Update,Date that record was last updated.
CLINADM,ARC_REST_D,D,8,Full Archive Restore Date,Date of the full archive restore.
CLINADM,LAST_EI_N,N,6,Last EI Number Used,Last EI Number assigned in the Clinic each day.
CLINADM,FILTQLTY_F,C,1,FI Printing (Single/Double Strike),"""S"" = Single Strike.
""D"" = Double Strike."
CLINIC,CLINICID_I,C,6,Clinic ID,Unique Clinic Number assigned by Cornerstone.
CLINIC,AGENCY_I,C,6,Agency ID,Same number as the Clinic Number.
CLINIC,CM_AGENCY,C,6,Case Management Agency,Case Management Agency ID.
CLINIC,REGION_C,C,4,Region,"Region numbers are 1 - 8, See Code Table."
CLINIC,CLINICSZ_C,C,4,Clinic Size,"""S"" = Small.
""M"" = Medium.
""L"" = Large."
CLINIC,CLIN_NME_T,C,30,Clinic Name,Name of Clinic.
CLINIC,FOOD_CTR_F,C,1,Food Center Indicator,"""Y"" = Yes, ""N"" = No."
CLINIC,COMMENTS_M,M,4,Comments,Used to record additional notes.
CLINIC,CM_AGEN_C,C,12,Case Management Agency Code,Unique code assigned to each Case Management Agency.
CLINIC,ZIP_ASGN_F,C,1,Medmatch ZIP Code Assignment Flag,"""Y"" = Yes, ""N"" = No."
CLINIC,TIMEBOD,C,8,Clinic Beginning of Date Start Time,Time that Auto-BOD will start at each clinic.
CLINIC,ARACTIVE_F,C,1,Archive Active Flag,"""Y"" = Yes, ""N"" = No."
CLINIC,ARDURMON_N,N,3,Archive Monthly Duration,
CLINIC,ARRUNDAY_C,C,1,Archive Run Day,Day code that the Archive runs.
CLINIC,ARSTRTME_C,C,8,Archive Start Time,Time that archive process starts.
CLINIC,FASD_F,C,1,FASD Clinic,"""Y"" = Yes, ""N"" or Blank = No."
CLINIC,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
CLINIC,OPERATOR_I,N,9,Operator ID,User Making Last Update.
CLINIC,APORS_F,C,1,APROS Flag,"""Y"" = Yes, ""N"" or blank = No."
CMCATGY,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
CMCATGY,PGM_ID_C,C,4,Program ID Code,"Used to determine the Program, See Code Table."
CMCATGY,PGM_STAT_C,C,4,Program Status Code,"Used to determine participant's status in the Program, See Code Table."
CMCATGY,OLD_CAT_C,C,4,Old Category Code,"Old Program Category Code, See Code Table."
CMCATGY,NEW_CAT_C,C,4,New Category Code,"New Program Category Code, See Code Table."
CMCATGY,LOCATN_N,N,2,Location Number,"Location Code, See Code Table."
CMCATGY,LST_UPD_D,D,8,Last Update Date,Last date that this record was updated.
CODETBL,CDE_NAME_T,C,10,Data Element Name,Internal Data Element Identifier for each of the 4 digit character code fields.
CODETBL,CODE_VAL_C,C,4,Code Value,Code values for the encoded data elements.
CODETBL,BRF_DESC_T,C,30,Brief Description,Description of each code value.
CODETBL,EXP_DESC_M,M,4,Expanded Description,More detailed description of the Code Value.
CODETBL,CDE_STAT_C,C,1,Code Status Code,Used to indicate if the code value is still active (valid for entry).
CODETBL,CENTRAL_F,C,1,Central Office Indicator,"""Y"" = Yes, ""N"" or Blank = No."
CODETBL,LAST_UPD_D,D,8,Date Last Update,Last Central Office Update.
CODETBL,OPERATOR_I,N,9,Operator ID,User Making Last Update.
COLRSCHM,EMPL_ID_I,N,9,Employee ID,Provides a Link to the Employee Table.
COLRSCHM,SCRNCOLR_C,C,254,Screen Color,Stores the numbers used to create the screen color.
COLRSCHM,EDITCOLR_C,C,254,Edit Color,Stores the numbers used to create the color on the edit boxes.
COLRSCHM,PPUPCOLR_C,C,254,Popup Color,Stores the numbers used to create the colors in the pop-up window.
COLRSCHM,BKGROUND_C,C,16,Background Color,Stores the number used to create the color of the background.
COLRSCHM,HDRCOLR_C,C,28,Header Color,Stores the number used to create the header color.
COLRSCHM,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
COLRSCHM,UPLOAD_F,C,1,Upload Indicator,See Code Table.
DCFSWARD,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number .
DCFSWARD,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
DCFSWARD,DCFS_CAS_I,C,8,DCFS Case ID Number,External DCFS case identifier.
DCFSWARD,WORK_LST_T,C,15,DCFS Case Worker Last Name,Stores the Last Name of the DCFS Case Worker.
DCFSWARD,WORK_FST_T,C,13,DCFS Case Worker First Name,Stores the First Name of the DCFS Case Worker.
DCFSWARD,PHNE_WRK_N,N,12,DCFS Case Worker Phone Number,Stores the Phone Number of the DCFS Case Worker.
DCFSWARD,PRO_CUST_D,D,8,Protective Custody Initiation Date,See Screen Definitions.
DCFSWARD,TMPCST_I_D,D,8,Temporary Custody Initiation Date,Stores Temporary Custody Initiation Date..
DCFSWARD,TMPCST_E_D,D,8,Temporary Custody End Date,Stores Temporary Custody End Date.
DCFSWARD,INT_HLTH_D,D,8,Initial Health Visit Date,Stores Initial Health Visit Date.
DCFSWARD,CMP_HLTH_D,D,8,Comprehensive Health Screening Date,Stores Comprehensive Health Screening Date.
DCFSWARD,HLTH_PAS_D,D,8,Health Passport Initiated Date,Stores Health Passport Initiated Date.
DCFSWARD,MEDC_EXP_D,D,8,Medical Consent Expiration Date,Stores Medical Consent Expiration Date.
DCFSWARD,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
DCFSWARD,OPERATOR_I,N,9,Operator ID,User Making Last Update.
DCFSWARD,UPLOAD_F,C,1,Upload Indicator,See Code Table.
DCFSWARD,CO_UPD_D,D,8,Central Office Update Date,Last Update from Central Office.
DCFSWARD,HIS_AVBL_F,C,1,Initial Health Screening Date Available,Stores Initial Health Screening Date Available.
DCFSWARD,MIS_IHSD_C,C,2,Missed Initial Health Screening Reason,See Code Table.
DCFSWARD,ACR_DATE_T,C,4,Date of Administrative Case Review,Stores Date of Administrative Case Review.
DISTRICT,REGION,C,2,Region,See Code Table.
DISTRICT,COUNTY,C,3,County,See Code Table.
DISTRICT,DISTRICT,C,4,District,See Code Table.
DISTRICT,DIST_TYP,C,2,District Type,See Code Table.
DISTRICT,DIST_NAME,C,40,District Name,Stores the District Name information.
DISTRICT,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
DISTRICT,OPERATOR_I,N,9,Operator ID,User Making Last Update.
DOWNLD,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
DOWNLD,CTRL_PCS_D,D,8,Central Office Process Date,The Date that data was processed at Central Office.
DOWNLD,MSG_C,C,4,Message Code,See Code Table for explanation of the different Message Codes.
DOWNLD,TBL_NME_T,C,10,Table Name,Cornerstone Table Name.
DOWNLD,PGM_ID_C,C,4,Program ID Code,See Code Table.
DOWNLD,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
DOWNLD,O_CLINID_I,C,6,Other Clinic,Other Clinic ID Number.
EIEDTRUL,CATEGORY_C,C,4,EI Category Code,See Code Table.
EIEDTRUL,AUTH_TYP_C,C,4,Authorization Type,The Type of Authorization entered. See Code Table.
EIEDTRUL,SERV_TYP_C,C,4,Service Type,The Service Type Code used. See Service Code Table.
EIEDTRUL,METH_TYP_C,C,4,Method Type,The Method Type used. See Code Table. .
EIEDTRUL,IFSP_LOC_C,C,4,IFSP Location,The Location of the IFSP Meeting. See Code Table.
EIEDTRUL,PROCHIPA_C,C,5,Procedure Code HIPA,"See Appendix B, EI HIPAA Procedure Code Table for explanation of the different HIPA Procedure Codes."
EIEDTRUL,MODIFR01_C,C,2,Modifier 1,EI Modifier Code 1.
EIEDTRUL,MODIFR02_C,C,2,Modifier 2,EI Modifier Code 2.
EIEDTRUL,MODIFR03_C,C,2,Modifier 3,EI Modifier Code 3.
EIEDTRUL,MODIFR04_C,C,2,Modifier 4,EI Modifier Code 4.
EIEDTRUL,PROV_CAT_C,C,4,Provider Category,See Code Table for descriptions of the Provider Category Codes.
EIEDTRUL,CDE_STAT_C,C,1,Code Status,"""A"" = Active, ""I"" = Inactive."
EIEDTRUL,FAMILY_F_F,L,1,Family Fee Flag,"""T"" = True, ""F"" = False."
EIEDTRUL,PRIV_INS_F,L,1,Private Insurance Flag,"""T"" = True, ""F"" = False."
EIEDTRUL,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
EIEDTRUL,OPERATOR_I,N,9,Operator ID,User Making Last Update.
EIPGM,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
EIPGM,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
EIPGM,ENTRY_D,D,8,Date of Record Entry,The Date that the EIPGM record was added.
EIPGM,INTK_BEG_D,D,8,Intake Period Begin Date,The Date that the Intake Period Begins.
EIPGM,INTK_END_D,D,8,Intake Period end Date,The Date that the Intake Period Ends.
EIPGM,ITRM_BEG_D,D,8,Interim IFSP Begin Date,The Date that the Interim IFSP Begins.
EIPGM,ITRM_END_D,D,8,Interim IFSP End Date,The Date that the Interim IFSP Ends.
EIPGM,ELIG_DET_D,D,8,Date of Eligibility Determination,The Date that the participant was determined to be eligible for Early Intervention Services.
EIPGM,ELIG_DET_C,C,4,Eligibility Determination Code,The Eligibility Determination Code. See Code Table.
EIPGM,DLAY_LVL_N,N,2,Percent of Delay,The Percentage of Delay of the participant.
EIPGM,INT_IFSP_D,D,8,Initial IFSP Begin Date,The Date that the Initial IFSP Date Begins.
EIPGM,BEG_IFSP_D,D,8,IFSP Begin Date,The Date that the IFSP Beings.
EIPGM,END_IFSP_D,D,8,IFSP End Date,The Date that the IFSP Ends.
EIPGM,AUTH_PRN_D,D,8,Last Authorization Print Date,The last date that the authorization was printed.
EIPGM,NXT_FLWP_D,D,8,Next Followup Date,The next follow up date for this participant.
EIPGM,FLWP_RSN_T,C,30,Followup Reason Code,The reason code for the follow up.
EIPGM,PRIV_INS_C,C,4,Private Insurance Code,Stores if the participant has private insurance or not. See Code Table.
EIPGM,DSCC_ELG_F,C,1,DSCC Eligible Flag,"""Y"" = Yes, ""N"" or blank = No."
EIPGM,EIPGM_ST_C,C,4,Record Status Field,Status of the EIPGM record. See Code Table.
EIPGM,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
EIPGM,OPERATOR_I,N,9,Operator ID,User Making Last Update.
EIPGM,UPLOAD_F,C,1,Upload Indicator,See Code Table.
